Date,Step count(count),Step count(count) MOVING AVERAGE
2020-11-21,2471.0,2471.0
2020-11-22,2650.515,2565.4815789473687
2020-11-23,5329.485,3585.409040590406
2020-11-24,2885.0,3381.7425559755748
2020-11-25,5157.0,3815.250271055652
2020-11-26,3241.0,3692.6936088091365
2020-11-27,1695.0,3309.77589012793
2020-11-28,829.0,2874.1950186336076
2020-11-29,4508.0,3140.904066525089
2020-11-30,7876.0,3867.902253749524
2020-12-01,1987.0,3593.7939327769345
2020-12-02,2586.0,3453.3486407794535
2020-12-03,1851.0,3238.5028624793235
2020-12-04,1972.0,3074.2847363413903
2020-12-05,850.0,2794.186524844462
2020-12-06,3430.0,2872.2293689282906
2020-12-07,5869.0,3231.887226427779
2020-12-08,1224.0,2995.63889692942
2020-12-09,905.0,2753.9227384492533
2020-12-10,1273.0,2585.334011135887
2020-12-11,1100.0,2418.551428416388
2020-12-12,1501.0,2316.7734903894298
2020-12-13,1911.0,2272.2500570004795
2020-12-14,2055.0,2248.6419136801173
2020-12-15,1948.0,2216.252492266577
2020-12-16,1338.0,2122.3608255673207
2020-12-17,940.0,1996.8248596054855
2020-12-18,2082.0,2005.812752913819
2020-12-19,5067.0,2327.0627667122653
2020-12-20,1418.0,2232.1322766099684
2020-12-21,952.0,2099.0413585954802
2020-12-22,1339.0,2020.3346843985416
2020-12-23,931.0,1907.9274787281345
2020-12-24,5117.0,2238.0154134203963
2020-12-25,1182.0,2129.7026347976503
2020-12-26,1324.0,2047.2754180455158
2020-12-27,1056.0,1946.0964153423545
2020-12-28,5964.0,2355.3549245706995
2020-12-29,468.0,2163.468034717049
2020-12-30,775.0,2022.5381633131717
2020-12-31,1018.0,1920.730014079174
2021-01-01,1510.0,1879.1593067465672
2021-01-02,842.0,1774.3136363291012
2021-01-03,796.0,1675.524239073794
2021-01-04,1378.0,1645.5098506779775
2021-01-05,737.0,1553.9395657101732
2021-01-06,948.0,1492.9141809982152
2021-01-07,1889.0,1532.7763936182828
2021-01-08,1142.0,1493.4736905937561
2021-01-09,3689.0,1714.1637082760144
2021-01-10,1347.0,1677.2762386948434
2021-01-11,567.0,1565.7831805968822
2021-01-12,635.0,1472.353838959083
2021-01-13,6327.0,1959.4655707339805
2021-01-14,913.0,1854.4995756101866
2021-01-15,1897.0,1858.761290577275
2021-01-16,4536.0,2127.146740969069
2021-01-17,6719.0,2587.3530489406935
2021-01-18,6877.0,3017.17596204884
2021-01-19,7368.0,3453.0416209223304
2021-01-20,8314.0,3939.9248996701867
2021-01-21,4120.0,3957.9586592530586
2021-01-22,6161.0,4178.551774833228
2021-01-23,1873.0,3947.724447670622
2021-01-24,4704.0,4023.4323378034387
2021-01-25,5556.0,4176.835604902642
2021-01-26,4210.0,4180.154897359034
2021-01-27,6452.0,4407.515283161316
2021-01-28,5792.0,4546.060209630294
2021-01-29,9592.0,5050.970554759277
2021-01-30,3989.0,4944.713578756638
2021-01-31,1014.0,4551.442624550995
2021-02-01,6669.0,4763.295131216873
2021-02-02,6536.0,4940.6385236653
2021-02-03,5170.0,4963.583160550211
2021-02-04,1685.0,4635.615634707965
2021-02-05,9345.0,5106.695249403876
2021-02-06,4818.0,5077.817935628052
2021-02-07,2690.0,4838.978163843194
2021-02-08,4172.0,4772.265772502497
2021-02-09,3374.0,4632.411696157719
2021-02-10,6558.0,4825.004608620635
2021-02-11,4349.0,4777.396565324974
2021-02-12,6631.0,4962.783482360761
2021-02-13,4308.0,4897.296685869018
2021-02-14,2413.0,4648.83816968135
2021-02-15,5036.0,4687.558398809746
2021-02-16,4620.0,4680.80192350856
2021-02-17,6189.0,4831.634497852719
2021-02-18,6857.0,5034.186477940131
2021-02-19,5174.829,5048.251694451922
2021-02-20,4320.171,4975.4391322057345
2021-02-21,1883.0,4666.178044700516
2021-02-22,7392.0,4938.773864558107
2021-02-23,5244.0,4969.297851131108
2021-02-24,5651.0,5037.470825916757
2021-02-25,5644.0,5098.125953318268
2021-02-26,6217.0,5210.017027101802
2021-02-27,3454.0,5034.410141764368
2021-02-28,5683.0,5099.270850379085
2021-03-01,4300.0,5019.341854617831
2021-03-02,4016.0,4919.005510446383
2021-03-03,8242.0,5251.311393926895
2021-03-04,3711.0,5097.277570196955
2021-03-05,7624.0,5349.953776211625
2021-03-06,8209.67,5635.929435370358
2021-03-07,11262.33,6198.576639835488
2021-03-08,6506.0,6229.319327358026
2021-03-09,3549.0,5961.28463642996
2021-03-10,7217.0,6086.857335764346
2021-03-11,6460.0,6124.171913214184
2021-03-12,14422.0,6953.960946740722
2021-03-13,12343.058,7492.874290567692
2021-03-14,10363.942,7779.982806095984
2021-03-15,7578.0,7759.784415026304
2021-03-16,8371.0,7820.906274358181
2021-03-17,8671.0,7905.916023489432
2021-03-18,5887.0,7704.023616251288
2021-03-19,9628.0,7896.4219449612
2021-03-20,8990.0,8005.780103609478
2021-03-21,12057.0,8410.903270666666
2021-03-22,6359.0,8205.712406884457
2021-03-23,7981.0,8183.241113295881
2021-03-24,6765.0,8041.416701481732
2021-03-25,5710.0,7808.274586769437
2021-03-26,9295.18,7956.965383268757
2021-03-27,11670.82,8328.35141856186
2021-03-28,5674.0,8062.915907727878
2021-03-29,5700.0,7826.624021335965
2021-03-30,6078.0,7651.761422312597
2021-03-31,6998.47,7586.432213878572
2021-04-01,2598.53,7087.641537576432
2021-04-02,8942.0,7273.077536030405
2021-04-03,7016.0,7247.3697634358
2021-04-04,5016.0,7024.232638734344
2021-04-05,9332.0,7255.009512954515
2021-04-06,8635.0,7393.008635978107
2021-04-07,6730.0,7326.70774024475
2021-04-08,5417.0,7135.736882914346
2021-04-09,1897.0,6611.862988949534
2021-04-10,6522.0,6602.876686879354
2021-04-11,4082.0,6350.788938025812
2021-04-12,6323.0,6348.010043427895
2021-04-13,6907.0,6403.909053483878
2021-04-14,3594.0,6122.918082994219
2021-04-15,7061.0,6216.726294267339
2021-04-16,4568.0,6051.853633880849
2021-04-17,6488.0,6095.468277863719
2021-04-18,11059.0,6591.821525573492
2021-04-19,4616.0,6394.2393459688265
2021-04-20,6305.0,6385.315410272495
2021-04-21,7554.0,6502.183882203867
2021-04-22,7889.0,6640.8655078230595
2021-04-23,4801.0,6456.8789405160915
2021-04-24,6307.0,6441.891045252965
2021-04-25,4454.0,6243.101926265811
2021-04-26,3838.0,6002.591717891879
2021-04-27,5979.0,6000.232545963671
2021-04-28,6820.0,6082.209295714905
2021-04-29,9464.0,6420.388382285078
2021-04-30,4759.0,6254.249536919578
2021-05-01,4512.0,6080.024576491701
2021-05-02,5598.0,6031.822117165279
2021-05-03,7874.0,6216.039911217786
2021-05-04,4413.0,6035.735915014186
2021-05-05,9303.0,6362.462331800597
2021-05-06,14046.0,7130.816116161778
2021-05-07,7859.0,7203.634506041776
2021-05-08,3195.0,6802.771048024828
2021-05-09,6377.0,6760.1939425137425
2021-05-10,2017.0,6285.874541157762
2021-05-11,3007.0,5957.987082621842
2021-05-12,1551.0,5517.288369012834
2021-05-13,1359.0,5101.459527570972
2021-05-14,1788.0,4770.113571557601
2021-05-15,4705.0,4763.60221434425
2021-05-16,1854.0,4472.641990593722
2021-05-17,2132.0,4238.5777898574715
2021-05-18,960.0,3910.7200087577744
2021-05-19,1190.0,3638.648006303166
2021-05-20,1656.0,3440.3832046373736
2021-05-21,3162.315,3412.5763840429327
2021-05-22,8551.685,3926.4872478126767
2021-05-23,1204.0,3654.238521994865
2021-05-24,491.0,3337.914668711461
2021-05-25,3241.0,3328.223201810428
2021-05-26,3149.0,3310.300881579641
2021-05-27,2666.0,3245.870793260731
2021-05-28,2833.0,3204.5837138418365
2021-05-29,2549.0,3139.0253423250033
2021-05-30,541.0,2879.2228076193924
2021-05-31,1144.0,2705.7005265730613
2021-06-01,2509.0,2686.030473886741
2021-06-02,1061.0,2523.527426282338
2021-06-03,2921.0,2563.274683701594
2021-06-04,3751.0,2682.047215459151
2021-06-05,1647.0,2578.542493813067
2021-06-06,656.0,2386.288244264307
2021-06-07,829.232,2230.582619715819
2021-06-08,1952.768,2202.801157724637
2021-06-09,814.0,2063.9210418639905
2021-06-10,2557.0,2113.2289377057687
2021-06-11,3873.0,2289.2060440256996
2021-06-12,4877.0,2547.9854397429144
2021-06-13,1564.0,2449.5868957276302
2021-06-14,798.0,2284.4282060929436
2021-06-15,2917.0,2347.685385504995
2021-06-16,2516.0,2364.516846959607
2021-06-17,2860.0,2414.0651622771893
2021-06-18,2769.0,2449.5586460582017
2021-06-19,3013.0,2505.9027814648557
2021-06-20,1599.0,2415.2125033002994
2021-06-21,1759.0,2349.5912529585016
2021-06-22,3358.0,2450.432127678927
2021-06-23,1299.0,2335.2889148943086
2021-06-24,2625.0,2364.260023408665
2021-06-25,3446.0,2472.434021080526
2021-06-26,775.0,2302.6906189544984
2021-06-27,4147.0,2487.121557076626
2021-06-28,1487.0,2387.1094013603847
2021-06-29,3510.0,2499.3984612330146
2021-06-30,773.0,2326.758615097719
2021-07-01,1503.0,2244.3827535827963
2021-07-02,1674.0,2187.344478221307
2021-07-03,651.0,2033.7100303913949
2021-07-04,1135.0,1943.8390273481589
2021-07-05,3607.0,2110.155124620166
2021-07-06,2565.0,2155.639612159829
2021-07-07,834.0,2023.4756509394545
2021-07-08,2037.0,2024.8280858455496
2021-07-09,2725.0,2094.8452772628793
2021-07-10,3095.0,2194.8607495390143
2021-07-11,803.0,2055.6746745820783
2021-07-12,1517.0,2001.8072071228135
2021-07-13,2991.0,2100.726486412279
2021-07-14,1525.0,2043.153837770136
2021-07-15,2560.0,2094.838453993862
2021-07-16,1992.0,2084.5546085943433
2021-07-17,2400.0,2116.0991477352745
2021-07-18,6556.0,2560.089232966377
2021-07-19,3070.0,2611.080309670218
2021-07-20,3470.0,2696.9722787039213
2021-07-21,2773.0,2704.575050833587
2021-07-22,3507.0,2784.8175457507773
2021-07-23,3649.0,2871.235791176232
2021-07-24,2232.0,2807.3122120582543
2021-07-25,1850.0,2711.5809908519514
2021-07-26,2591.0,2699.522891766702
2021-07-27,2736.0,2703.170602590046
2021-07-28,925.0,2525.353542330395
2021-07-29,3857.0,2658.5181880977916
2021-07-30,3622.0,2754.866369288296
2021-07-31,3452.0,2824.579732359651
2021-08-01,6019.0,3144.0217591244477
2021-08-02,5174.0,3347.0195832124386
2021-08-03,591.0,3071.4176248906624
2021-08-04,959.0,2860.1758624012286
2021-08-05,2274.0,2801.558276161014
2021-08-06,3046.0,2826.002448544947
2021-08-07,4910.0,3034.4022036907163
2021-08-08,1788.0,2909.7619833215026
2021-08-09,1673.0,2786.0857849892254
2021-08-10,3742.0,2881.677206490391
2021-08-11,1803.0,2773.8094858412624
2021-08-12,3264.0,2822.828537257173
2021-08-13,3985.0,2939.045683531534
2021-08-14,605.0,2705.641115178239
2021-08-15,4090.0,2844.077003660491
2021-08-16,14525.0,4012.169303295015
2021-08-17,20770.0,5687.952372966254
2021-08-18,1230.0,5242.157135669451
2021-08-19,1890.0,4906.941422102386
2021-08-20,3215.0,4737.747279892093
2021-08-21,937.0,4357.672551902773
2021-08-22,1875.0,4109.405296712431
2021-08-23,1634.0,3861.8647670411297
2021-08-24,3672.0,3842.8782903370125
2021-08-25,1944.0,3652.990461303275
2021-08-26,802.0,3367.8914151728986
2021-08-27,2179.0,3249.0022736555907
2021-08-28,4089.0,3333.0020462900434
2021-08-29,12781.0,4277.801841661158
2021-08-30,10528.0,4902.821657495112
2021-08-31,5501.0,4962.639491745607
2021-09-01,8827.0,5349.075542571082
2021-09-02,7297.0,5543.86798831399
2021-09-03,6559.0,5645.3811894825985
2021-09-04,4601.0,5540.943070534332
2021-09-05,3575.0,5344.348763480887
2021-09-06,5481.0,5358.013887132799
2021-09-07,4338.0,5256.0124984195145
2021-09-08,7687.0,5499.111248577574
2021-09-09,9342.0,5883.400123719832
2021-09-10,12250.0,6520.0601113478715
2021-09-11,3337.0,6201.754100213075
2021-09-12,3444.0,5925.97869019176
2021-09-13,4891.0,5822.48082117258
2021-09-14,6820.0,5922.232739055325
2021-09-15,4894.0,5819.40946514979
2021-09-16,6219.0,5859.368518634812
2021-09-17,4325.0,5705.931666771328
2021-09-18,7933.0,5928.638500094199
2021-09-19,4326.0,5768.374650084777
2021-09-20,4451.0,5636.637185076298
2021-09-21,5952.0,5668.173466568669
2021-09-22,5478.0,5649.156119911802
2021-09-23,4822.0,5566.440507920622
2021-09-24,6574.0,5667.196457128561
2021-09-25,3819.0,5482.376811415704
2021-09-26,13171.0,6251.239130274138
2021-09-27,4718.0,6097.915217246724
2021-09-28,8040.0,6292.123695522053
2021-09-29,5681.358,6231.047125969848
2021-09-30,11752.642,6783.206613372866
2021-10-01,7142.0,6819.08595203558
2021-10-02,2915.0,6428.67735683202
2021-10-03,3606.0,6146.409621148818
2021-10-04,5234.0,6055.168659033935
2021-10-05,4521.0,5901.751793130541
2021-10-06,6050.934,5916.670013817487
2021-10-07,10274.066,6352.409612435739
2021-10-08,7251.0,6442.268651192166
2021-10-09,14995.0,7297.54178607295
2021-10-10,3280.0,6895.787607465655
2021-10-11,5468.0,6753.00884671909
2021-10-12,7043.0,6782.007962047181
2021-10-13,7981.0,6901.907165842462
2021-10-14,8308.0,7042.516449258215
2021-10-15,6185.0,6956.7648043323925
2021-10-16,6819.0,6942.988323899152
2021-10-17,2274.0,6476.089491509237
2021-10-18,6931.0,6521.580542358312
2021-10-19,6833.0,6552.722488122481
2021-10-20,6744.0,6571.8502393102335
2021-10-21,8206.0,6735.26521537921
2021-10-22,6105.0,6672.238693841288
2021-10-23,1932.0,6198.214824457159
2021-10-24,1713.0,5749.693342011443
2021-10-25,2760.0,5450.724007810299
2021-10-26,5191.0,5424.751607029269
2021-10-27,7148.0,5597.076446326342
2021-10-28,9239.0,5961.268801693708
2021-10-29,5920.236,5957.165521524336
2021-10-30,1151.764,5476.625369371903
2021-10-31,7007.0,5629.662832434713
2021-11-01,4356.0,5502.296549191242
2021-11-02,4889.0,5440.966894272117
2021-11-03,6615.797,5558.449904844905
2021-11-04,9475.203,5950.125214360415
2021-11-05,9954.0,6350.512692924374
2021-11-06,4895.0,6204.961423631937
2021-11-07,2082.0,5792.665281268743
2021-11-08,5970.0,5810.398753141868
2021-11-09,7634.099,5992.768777827681
2021-11-10,5075.901,5901.082000044913
2021-11-11,8605.0,6171.473800040421
2021-11-12,5599.0,6114.226420036379
2021-11-13,6616.0,6164.403778032742
2021-11-14,2879.0,5835.863400229467
2021-11-15,10023.0,6254.57706020652
2021-11-16,3940.0,6023.119354185868
2021-11-17,6022.0,6023.007418767282
2021-11-18,10571.0,6477.806676890554
2021-11-19,8361.0,6666.126009201498
2021-11-20,1257.0,6125.213408281348
2021-11-21,9.0,5513.592067453213
