Date,Distance walking / running(mi),Flights climbed(count),Step count(count)
2020-11-21,1.023,5.0,2471.0
2020-11-22,1.202,2.0,2650.515
2020-11-23,2.455,8.0,5329.485
2020-11-24,1.165,4.0,2885.0
2020-11-25,2.444,3.0,5157.0
2020-11-26,1.439,4.0,3241.0
2020-11-27,0.788,1.0,1695.0
2020-11-28,0.383,3.0,829.0
2020-11-29,2.036,6.0,4508.0
2020-11-30,3.457,9.0,7876.0
2020-12-01,0.92,2.0,1987.0
2020-12-02,1.151,4.0,2586.0
2020-12-03,0.905,3.0,1851.0
2020-12-04,0.945,4.0,1972.0
2020-12-05,0.399,3.0,850.0
2020-12-06,1.535,4.0,3430.0
2020-12-07,2.605,11.0,5869.0
2020-12-08,0.544,11.0,1224.0
2020-12-09,0.418,4.0,905.0
2020-12-10,0.554,5.0,1273.0
2020-12-11,0.493,7.0,1100.0
2020-12-12,0.662,7.0,1501.0
2020-12-13,0.877,11.0,1911.0
2020-12-14,0.905,7.0,2055.0
2020-12-15,0.842,14.0,1948.0
2020-12-16,0.551,9.0,1338.0
2020-12-17,0.433,6.0,940.0
2020-12-18,0.923,9.0,2082.0
2020-12-19,2.194,13.0,5067.0
2020-12-20,0.633,8.0,1418.0
2020-12-21,0.428,6.0,952.0
2020-12-22,0.604,7.0,1339.0
2020-12-23,0.385,5.0,931.0
2020-12-24,2.236,8.0,5117.0
2020-12-25,0.498,6.0,1182.0
2020-12-26,0.574,5.0,1324.0
2020-12-27,0.461,6.0,1056.0
2020-12-28,2.716,5.0,5964.0
2020-12-29,0.208,4.0,468.0
2020-12-30,0.333,3.0,775.0
2020-12-31,0.463,8.0,1018.0
2021-01-01,0.671,9.0,1510.0
2021-01-02,0.379,2.0,842.0
2021-01-03,0.353,5.0,796.0
2021-01-04,0.618,9.0,1378.0
2021-01-05,0.31,4.0,737.0
2021-01-06,0.41,6.0,948.0
2021-01-07,0.789,5.0,1889.0
2021-01-08,0.482,5.0,1142.0
2021-01-09,1.555,10.0,3689.0
2021-01-10,0.599,8.0,1347.0
2021-01-11,0.251,4.0,567.0
2021-01-12,0.29,6.0,635.0
2021-01-13,2.689,14.0,6327.0
2021-01-14,0.4,5.0,913.0
2021-01-15,0.791,10.0,1897.0
2021-01-16,1.929,7.0,4536.0
2021-01-17,2.874,18.0,6719.0
2021-01-18,2.783,7.0,6877.0
2021-01-19,3.095,5.0,7368.0
2021-01-20,3.76,6.0,8314.0
2021-01-21,1.842,3.0,4120.0
2021-01-22,2.706,4.0,6161.0
2021-01-23,0.77,3.0,1873.0
2021-01-24,1.995,9.0,4704.0
2021-01-25,2.46,11.0,5556.0
2021-01-26,1.802,4.0,4210.0
2021-01-27,2.858,11.0,6452.0
2021-01-28,2.472,9.0,5792.0
2021-01-29,4.179,9.0,9592.0
2021-01-30,1.664,8.0,3989.0
2021-01-31,0.454,2.0,1014.0
2021-02-01,3.042,9.0,6669.0
2021-02-02,2.944,11.0,6536.0
2021-02-03,2.349,8.0,5170.0
2021-02-04,0.715,2.0,1685.0
2021-02-05,4.412,9.0,9345.0
2021-02-06,2.23,8.0,4818.0
2021-02-07,1.169,9.0,2690.0
2021-02-08,1.905,8.0,4172.0
2021-02-09,1.499,5.0,3374.0
2021-02-10,2.95,6.0,6558.0
2021-02-11,1.995,4.0,4349.0
2021-02-12,2.958,5.0,6631.0
2021-02-13,2.031,5.0,4308.0
2021-02-14,1.047,7.0,2413.0
2021-02-15,2.163,7.0,5036.0
2021-02-16,1.968,8.0,4620.0
2021-02-17,2.82,10.0,6189.0
2021-02-18,3.135,8.0,6857.0
2021-02-19,2.162,7.0,5174.829
2021-02-20,1.846,8.0,4320.171
2021-02-21,0.774,1.0,1883.0
2021-02-22,3.501,15.0,7392.0
2021-02-23,2.238,8.0,5244.0
2021-02-24,2.249,7.0,5651.0
2021-02-25,2.352,12.0,5644.0
2021-02-26,2.64,6.0,6217.0
2021-02-27,1.489,7.0,3454.0
2021-02-28,2.414,10.0,5683.0
2021-03-01,1.87,5.0,4300.0
2021-03-02,1.761,9.0,4016.0
2021-03-03,3.684,2.0,8242.0
2021-03-04,1.584,8.0,3711.0
2021-03-05,3.342,11.0,7624.0
2021-03-06,3.423,9.0,8209.67
2021-03-07,4.539,12.0,11262.33
2021-03-08,2.709,10.0,6506.0
2021-03-09,1.475,8.0,3549.0
2021-03-10,3.12,6.0,7217.0
2021-03-11,2.669,4.0,6460.0
2021-03-12,6.021,10.0,14422.0
2021-03-13,5.442,8.0,12343.058
2021-03-14,4.443,12.0,10363.942
2021-03-15,3.291,7.0,7578.0
2021-03-16,3.505,10.0,8371.0
2021-03-17,3.616,9.0,8671.0
2021-03-18,2.446,8.0,5887.0
2021-03-19,4.175,13.0,9628.0
2021-03-20,3.777,18.0,8990.0
2021-03-21,5.366,13.0,12057.0
2021-03-22,2.84,7.0,6359.0
2021-03-23,3.54,8.0,7981.0
2021-03-24,2.982,7.0,6765.0
2021-03-25,2.467,7.0,5710.0
2021-03-26,3.882,10.0,9295.18
2021-03-27,5.157,11.0,11670.82
2021-03-28,2.519,9.0,5674.0
2021-03-29,2.533,8.0,5700.0
2021-03-30,2.863,13.0,6078.0
2021-03-31,3.006,10.0,6998.47
2021-04-01,1.107,5.0,2598.53
2021-04-02,3.895,13.0,8942.0
2021-04-03,3.113,9.0,7016.0
2021-04-04,2.257,7.0,5016.0
2021-04-05,4.222,11.0,9332.0
2021-04-06,3.807,13.0,8635.0
2021-04-07,2.978,9.0,6730.0
2021-04-08,2.246,5.0,5417.0
2021-04-09,0.763,5.0,1897.0
2021-04-10,2.875,7.0,6522.0
2021-04-11,1.763,6.0,4082.0
2021-04-12,2.703,6.0,6323.0
2021-04-13,3.142,10.0,6907.0
2021-04-14,1.569,2.0,3594.0
2021-04-15,3.118,8.0,7061.0
2021-04-16,2.075,7.0,4568.0
2021-04-17,2.845,5.0,6488.0
2021-04-18,4.834,7.0,11059.0
2021-04-19,1.995,10.0,4616.0
2021-04-20,2.678,8.0,6305.0
2021-04-21,3.26,12.0,7554.0
2021-04-22,3.537,7.0,7889.0
2021-04-23,1.976,10.0,4801.0
2021-04-24,2.746,12.0,6307.0
2021-04-25,1.965,8.0,4454.0
2021-04-26,1.694,5.0,3838.0
2021-04-27,2.64,7.0,5979.0
2021-04-28,3.099,9.0,6820.0
2021-04-29,4.288,17.0,9464.0
2021-04-30,2.12,7.0,4759.0
2021-05-01,1.942,5.0,4512.0
2021-05-02,2.407,5.0,5598.0
2021-05-03,3.589,9.0,7874.0
2021-05-04,1.919,4.0,4413.0
2021-05-05,4.023,7.0,9303.0
2021-05-06,6.265,13.0,14046.0
2021-05-07,3.565,11.0,7859.0
2021-05-08,1.422,13.0,3195.0
2021-05-09,2.572,14.0,6377.0
2021-05-10,0.876,6.0,2017.0
2021-05-11,1.373,5.0,3007.0
2021-05-12,0.705,9.0,1551.0
2021-05-13,0.593,7.0,1359.0
2021-05-14,0.735,10.0,1788.0
2021-05-15,1.989,7.0,4705.0
2021-05-16,0.815,8.0,1854.0
2021-05-17,0.945,10.0,2132.0
2021-05-18,0.42,7.0,960.0
2021-05-19,0.53,7.0,1190.0
2021-05-20,0.728,8.0,1656.0
2021-05-21,1.275,7.0,3162.315
2021-05-22,3.434,20.0,8551.685
2021-05-23,0.555,9.0,1204.0
2021-05-24,0.211,3.0,491.0
2021-05-25,1.291,4.0,3241.0
2021-05-26,1.366,10.0,3149.0
2021-05-27,1.058,2.0,2666.0
2021-05-28,1.238,8.0,2833.0
2021-05-29,1.155,8.0,2549.0
2021-05-30,0.239,3.0,541.0
2021-05-31,0.501,9.0,1144.0
2021-06-01,1.046,5.0,2509.0
2021-06-02,0.444,6.0,1061.0
2021-06-03,1.195,5.0,2921.0
2021-06-04,1.577,7.0,3751.0
2021-06-05,0.69,10.0,1647.0
2021-06-06,0.29,6.0,656.0
2021-06-07,0.377,4.0,829.232
2021-06-08,0.808,5.0,1952.768
2021-06-09,0.36,8.0,814.0
2021-06-10,1.046,2.0,2557.0
2021-06-11,1.585,5.0,3873.0
2021-06-12,2.072,21.0,4877.0
2021-06-13,0.673,6.0,1564.0
2021-06-14,0.344,6.0,798.0
2021-06-15,1.198,2.0,2917.0
2021-06-16,1.085,7.0,2516.0
2021-06-17,1.133,4.0,2860.0
2021-06-18,1.177,3.0,2769.0
2021-06-19,1.261,13.0,3013.0
2021-06-20,0.619,3.0,1599.0
2021-06-21,0.866,9.0,1759.0
2021-06-22,1.392,9.0,3358.0
2021-06-23,0.578,6.0,1299.0
2021-06-24,1.075,3.0,2625.0
2021-06-25,1.44,7.0,3446.0
2021-06-26,0.349,3.0,775.0
2021-06-27,1.737,6.0,4147.0
2021-06-28,0.652,5.0,1487.0
2021-06-29,1.461,9.0,3510.0
2021-06-30,0.337,4.0,773.0
2021-07-01,0.686,3.0,1503.0
2021-07-02,0.716,3.0,1674.0
2021-07-03,0.279,4.0,651.0
2021-07-04,0.477,1.0,1135.0
2021-07-05,1.535,2.0,3607.0
2021-07-06,1.06,2.0,2565.0
2021-07-07,0.35,4.0,834.0
2021-07-08,0.82,5.0,2037.0
2021-07-09,1.164,3.0,2725.0
2021-07-10,1.288,11.0,3095.0
2021-07-11,0.352,4.0,803.0
2021-07-12,0.67,5.0,1517.0
2021-07-13,1.226,8.0,2991.0
2021-07-14,0.618,4.0,1525.0
2021-07-15,1.035,2.0,2560.0
2021-07-16,0.833,5.0,1992.0
2021-07-17,0.933,2.0,2400.0
2021-07-18,2.79,15.0,6556.0
2021-07-19,1.347,10.0,3070.0
2021-07-20,1.442,4.0,3470.0
2021-07-21,1.152,7.0,2773.0
2021-07-22,1.541,5.0,3507.0
2021-07-23,1.531,3.0,3649.0
2021-07-24,0.95,7.0,2232.0
2021-07-25,0.786,5.0,1850.0
2021-07-26,1.129,8.0,2591.0
2021-07-27,1.142,3.0,2736.0
2021-07-28,0.417,8.0,925.0
2021-07-29,1.575,10.0,3857.0
2021-07-30,1.515,7.0,3622.0
2021-07-31,1.372,8.0,3452.0
2021-08-01,2.366,20.0,6019.0
2021-08-02,2.24,5.0,5174.0
2021-08-03,0.259,5.0,591.0
2021-08-04,0.41,5.0,959.0
2021-08-05,0.941,6.0,2274.0
2021-08-06,1.229,3.0,3046.0
2021-08-07,1.943,4.0,4910.0
2021-08-08,0.75,8.0,1788.0
2021-08-09,0.706,8.0,1673.0
2021-08-10,1.531,8.0,3742.0
2021-08-11,0.75,5.0,1803.0
2021-08-12,1.34,6.0,3264.0
2021-08-13,1.794,4.0,3985.0
2021-08-14,0.269,6.0,605.0
2021-08-15,1.606,10.0,4090.0
2021-08-16,6.044,16.0,14525.0
2021-08-17,8.932,50.0,20770.0
2021-08-18,0.53,6.0,1230.0
2021-08-19,0.841,12.0,1890.0
2021-08-20,1.291,7.0,3215.0
2021-08-21,0.41,4.0,937.0
2021-08-22,0.837,15.0,1875.0
2021-08-23,0.701,10.0,1634.0
2021-08-24,1.608,7.0,3672.0
2021-08-25,0.857,10.0,1944.0
2021-08-26,0.351,3.0,802.0
2021-08-27,0.916,7.0,2179.0
2021-08-28,1.588,13.0,4089.0
2021-08-29,6.369,12.0,12781.0
2021-08-30,4.571,6.0,10528.0
2021-08-31,2.401,5.0,5501.0
2021-09-01,3.932,9.0,8827.0
2021-09-02,3.253,7.0,7297.0
2021-09-03,2.891,6.0,6559.0
2021-09-04,1.945,7.0,4601.0
2021-09-05,1.569,5.0,3575.0
2021-09-06,2.256,3.0,5481.0
2021-09-07,2.054,5.0,4338.0
2021-09-08,3.551,10.0,7687.0
2021-09-09,4.423,10.0,9342.0
2021-09-10,5.795,10.0,12250.0
2021-09-11,1.478,6.0,3337.0
2021-09-12,1.48,9.0,3444.0
2021-09-13,2.049,7.0,4891.0
2021-09-14,2.735,5.0,6820.0
2021-09-15,2.178,9.0,4894.0
2021-09-16,2.826,8.0,6219.0
2021-09-17,1.89,6.0,4325.0
2021-09-18,3.456,6.0,7933.0
2021-09-19,1.801,6.0,4326.0
2021-09-20,1.912,5.0,4451.0
2021-09-21,2.691,8.0,5952.0
2021-09-22,2.376,8.0,5478.0
2021-09-23,2.13,4.0,4822.0
2021-09-24,2.701,6.0,6574.0
2021-09-25,1.803,3.0,3819.0
2021-09-26,6.034,6.0,13171.0
2021-09-27,2.055,6.0,4718.0
2021-09-28,3.663,6.0,8040.0
2021-09-29,2.305,9.0,5681.358
2021-09-30,4.794,10.0,11752.642
2021-10-01,2.999,7.0,7142.0
2021-10-02,1.24,9.0,2915.0
2021-10-03,1.456,8.0,3606.0
2021-10-04,2.392,7.0,5234.0
2021-10-05,1.953,7.0,4521.0
2021-10-06,2.718,8.0,6050.934
2021-10-07,4.612,13.0,10274.066
2021-10-08,3.141,12.0,7251.0
2021-10-09,6.458,13.0,14995.0
2021-10-10,1.4,8.0,3280.0
2021-10-11,2.449,7.0,5468.0
2021-10-12,3.033,8.0,7043.0
2021-10-13,3.446,11.0,7981.0
2021-10-14,3.702,8.0,8308.0
2021-10-15,2.685,7.0,6185.0
2021-10-16,2.914,8.0,6819.0
2021-10-17,0.908,4.0,2274.0
2021-10-18,3.022,13.0,6931.0
2021-10-19,2.813,8.0,6833.0
2021-10-20,2.767,10.0,6744.0
2021-10-21,3.832,9.0,8206.0
2021-10-22,2.484,4.0,6105.0
2021-10-23,0.794,5.0,1932.0
2021-10-24,0.759,6.0,1713.0
2021-10-25,1.255,2.0,2760.0
2021-10-26,2.425,5.0,5191.0
2021-10-27,3.193,9.0,7148.0
2021-10-28,4.195,10.0,9239.0
2021-10-29,2.629,8.0,5920.236
2021-10-30,0.499,3.0,1151.764
2021-10-31,2.997,9.0,7007.0
2021-11-01,1.866,5.0,4356.0
2021-11-02,2.174,5.0,4889.0
2021-11-03,2.934,10.0,6615.797
2021-11-04,4.321,10.0,9475.203
2021-11-05,4.223,6.0,9954.0
2021-11-06,2.008,8.0,4895.0
2021-11-07,0.896,4.0,2082.0
2021-11-08,2.575,9.0,5970.0
2021-11-09,3.507,6.0,7634.099
2021-11-10,2.277,8.0,5075.901
2021-11-11,3.7,8.0,8605.0
2021-11-12,2.517,6.0,5599.0
2021-11-13,2.684,4.0,6616.0
2021-11-14,1.273,6.0,2879.0
2021-11-15,4.515,20.0,10023.0
2021-11-16,1.703,3.0,3940.0
2021-11-17,2.624,7.0,6022.0
2021-11-18,4.532,7.0,10571.0
2021-11-19,3.492,10.0,8361.0
2021-11-20,0.507,4.0,1257.0
2021-11-21,0.004,,9.0
